problem_id,candidate_id,candidate_method,generated_text,execution,structure_verification,feedback,generic_repair_feedback,lp_stats,optargus_audit,sirl_like_lp_stats_score,optargus_like_audit_score,optirepair_like_repair_score,runtime_sec,problem_type,difficulty,reference_objective,reference_status,code_output_format_valid,objective_consensus_score,or_r1_like_voting_score,score,selection_score,selection_policy,uses_reference_objective_for_selection,executable_score,feasible_score,optimal_score,objective_score,objective_correct,objective_accuracy,relative_error,structure_score,semantic_consistency_score,solver_only_score,structure_only_score,formal_selection_score,method_name,selected
single_period_newsvendor_0000,cand_1_remove_inventory_balance,demo_remove_inventory_balance,Executable candidate missing inventory-balance-like structure.,"{'executable': True, 'status': 'Optimal', 'objective': 0.0, 'lp_path': '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke_literature_driven\\candidate_runs\\single_period_newsvendor_0000\\cand_1_remove_inventory_balance\\cand_1_remove_inventory_balance.lp', 'error': None}","{'expected': {'inventory_balance': False, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': True, 'capacity_constraint': False, 'binary_order_variable': False, 'big_m_constraint': False, 'lead_time': False, 'holding_cost': True, 'shortage_cost': True, 'fixed_order_cost': False}, 'detected': {'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'binary_order_variable': False, 'capacity_constraint': False, 'big_m_constraint': False, 'inventory_balance': True, 'lead_time': False, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': False}, 'passed': {'inventory_balance': True, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'capacity_constraint': True, 'binary_order_variable': True, 'big_m_constraint': True, 'lead_time': True, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': True}, 'missing': ['shortage_variable', 'shortage_cost'], 'extra_detected': ['inventory_balance'], 'structure_score': 0.6, 'messages': ['Missing shortage/backorder variable B.', 'Missing shortage cost term.']}","结构验证发现以下问题：
- 题目允许缺货或包含缺货惩罚，但你的模型没有缺货变量。应加入 B[t] 或 B[i,t] 表示缺货/积压量。
- 你的目标函数缺少缺货惩罚项。应加入 shortage_cost * B[t]。
当前结构完整性分数为 0.600。请优先修复上述缺失结构。",- Rename placeholder constraints to describe the mathematical restriction they encode.,"{'lp_exported': True, 'objective_present': True, 'constraints_present': True, 'variables_count': 2, 'constraints_count': 1, 'binary_variables_count': 0, 'bounds_count': 0, 'bounds_present': False, 'objective_terms_count': 2, 'constraints_to_variables_ratio': 0.5}","{'objective_present': True, 'variables_present': True, 'constraints_present': True, 'empty_model': False, 'objective_has_variable': True, 'objective_variable_coverage': 1.0, 'constraints_to_variables_ratio': 0.5, 'bounded_variables_ratio': 0.0, 'suspicious_variable_names': [], 'suspicious_variable_name_count': 0, 'suspicious_constraint_names': ['dummy_nonnegative_0'], 'suspicious_constraint_name_count': 1, 'generic_issues': ['placeholder_constraint_names'], 'generic_issue_count': 1, 'solver_error': False}",0.8280000000000001,0.8599999999999999,0.919,0.4237960000173189,single_period_newsvendor,easy,111.0,Optimal,True,0.75,0.9624999999999999,1.0,1.0,executable > optimal > has_objective; no reference objective,False,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6,0.6,1.0,0.6,0.7999999999999999,Solver-Filter,True
single_period_newsvendor_0001,cand_1_remove_inventory_balance,demo_remove_inventory_balance,Executable candidate missing inventory-balance-like structure.,"{'executable': True, 'status': 'Optimal', 'objective': 0.0, 'lp_path': '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke_literature_driven\\candidate_runs\\single_period_newsvendor_0001\\cand_1_remove_inventory_balance\\cand_1_remove_inventory_balance.lp', 'error': None}","{'expected': {'inventory_balance': False, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': True, 'capacity_constraint': False, 'binary_order_variable': False, 'big_m_constraint': False, 'lead_time': False, 'holding_cost': True, 'shortage_cost': True, 'fixed_order_cost': False}, 'detected': {'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'binary_order_variable': False, 'capacity_constraint': False, 'big_m_constraint': False, 'inventory_balance': True, 'lead_time': False, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': False}, 'passed': {'inventory_balance': True, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'capacity_constraint': True, 'binary_order_variable': True, 'big_m_constraint': True, 'lead_time': True, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': True}, 'missing': ['shortage_variable', 'shortage_cost'], 'extra_detected': ['inventory_balance'], 'structure_score': 0.6, 'messages': ['Missing shortage/backorder variable B.', 'Missing shortage cost term.']}","结构验证发现以下问题：
- 题目允许缺货或包含缺货惩罚，但你的模型没有缺货变量。应加入 B[t] 或 B[i,t] 表示缺货/积压量。
- 你的目标函数缺少缺货惩罚项。应加入 shortage_cost * B[t]。
当前结构完整性分数为 0.600。请优先修复上述缺失结构。",- Rename placeholder constraints to describe the mathematical restriction they encode.,"{'lp_exported': True, 'objective_present': True, 'constraints_present': True, 'variables_count': 2, 'constraints_count': 1, 'binary_variables_count': 0, 'bounds_count': 0, 'bounds_present': False, 'objective_terms_count': 2, 'constraints_to_variables_ratio': 0.5}","{'objective_present': True, 'variables_present': True, 'constraints_present': True, 'empty_model': False, 'objective_has_variable': True, 'objective_variable_coverage': 1.0, 'constraints_to_variables_ratio': 0.5, 'bounded_variables_ratio': 0.0, 'suspicious_variable_names': [], 'suspicious_variable_name_count': 0, 'suspicious_constraint_names': ['dummy_nonnegative_0'], 'suspicious_constraint_name_count': 1, 'generic_issues': ['placeholder_constraint_names'], 'generic_issue_count': 1, 'solver_error': False}",0.8280000000000001,0.8599999999999999,0.919,0.44013730000006035,single_period_newsvendor,easy,122.0,Optimal,True,0.75,0.9624999999999999,1.0,1.0,executable > optimal > has_objective; no reference objective,False,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6,0.6,1.0,0.6,0.7999999999999999,Solver-Filter,True
single_period_newsvendor_0002,cand_1_remove_inventory_balance,demo_remove_inventory_balance,Executable candidate missing inventory-balance-like structure.,"{'executable': True, 'status': 'Optimal', 'objective': 0.0, 'lp_path': '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke_literature_driven\\candidate_runs\\single_period_newsvendor_0002\\cand_1_remove_inventory_balance\\cand_1_remove_inventory_balance.lp', 'error': None}","{'expected': {'inventory_balance': False, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': True, 'capacity_constraint': False, 'binary_order_variable': False, 'big_m_constraint': False, 'lead_time': False, 'holding_cost': True, 'shortage_cost': True, 'fixed_order_cost': False}, 'detected': {'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'binary_order_variable': False, 'capacity_constraint': False, 'big_m_constraint': False, 'inventory_balance': True, 'lead_time': False, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': False}, 'passed': {'inventory_balance': True, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'capacity_constraint': True, 'binary_order_variable': True, 'big_m_constraint': True, 'lead_time': True, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': True}, 'missing': ['shortage_variable', 'shortage_cost'], 'extra_detected': ['inventory_balance'], 'structure_score': 0.6, 'messages': ['Missing shortage/backorder variable B.', 'Missing shortage cost term.']}","结构验证发现以下问题：
- 题目允许缺货或包含缺货惩罚，但你的模型没有缺货变量。应加入 B[t] 或 B[i,t] 表示缺货/积压量。
- 你的目标函数缺少缺货惩罚项。应加入 shortage_cost * B[t]。
当前结构完整性分数为 0.600。请优先修复上述缺失结构。",- Rename placeholder constraints to describe the mathematical restriction they encode.,"{'lp_exported': True, 'objective_present': True, 'constraints_present': True, 'variables_count': 2, 'constraints_count': 1, 'binary_variables_count': 0, 'bounds_count': 0, 'bounds_present': False, 'objective_terms_count': 2, 'constraints_to_variables_ratio': 0.5}","{'objective_present': True, 'variables_present': True, 'constraints_present': True, 'empty_model': False, 'objective_has_variable': True, 'objective_variable_coverage': 1.0, 'constraints_to_variables_ratio': 0.5, 'bounded_variables_ratio': 0.0, 'suspicious_variable_names': [], 'suspicious_variable_name_count': 0, 'suspicious_constraint_names': ['dummy_nonnegative_0'], 'suspicious_constraint_name_count': 1, 'generic_issues': ['placeholder_constraint_names'], 'generic_issue_count': 1, 'solver_error': False}",0.8280000000000001,0.8599999999999999,0.919,0.46806260000448674,single_period_newsvendor,easy,580.0,Optimal,True,0.75,0.9624999999999999,1.0,1.0,executable > optimal > has_objective; no reference objective,False,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6,0.6,1.0,0.6,0.7999999999999999,Solver-Filter,True
single_item_multi_period_0000,cand_1_remove_inventory_balance,demo_remove_inventory_balance,Executable candidate missing inventory-balance-like structure.,"{'executable': True, 'status': 'Optimal', 'objective': 0.0, 'lp_path': '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke_literature_driven\\candidate_runs\\single_item_multi_period_0000\\cand_1_remove_inventory_balance\\cand_1_remove_inventory_balance.lp', 'error': None}","{'expected': {'inventory_balance': True, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'capacity_constraint': False, 'binary_order_variable': False, 'big_m_constraint': False, 'lead_time': False, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': False}, 'detected': {'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'binary_order_variable': False, 'capacity_constraint': False, 'big_m_constraint': False, 'inventory_balance': True, 'lead_time': False, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': False}, 'passed': {'inventory_balance': True, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': True, 'capacity_constraint': True, 'binary_order_variable': True, 'big_m_constraint': True, 'lead_time': True, 'holding_cost': True, 'shortage_cost': True, 'fixed_order_cost': True}, 'missing': [], 'extra_detected': [], 'structure_score': 1.0, 'messages': []}",结构验证通过：模型包含题目所需的关键库存补货结构。,- Rename placeholder constraints to describe the mathematical restriction they encode.,"{'lp_exported': True, 'objective_present': True, 'constraints_present': True, 'variables_count': 2, 'constraints_count': 1, 'binary_variables_count': 0, 'bounds_count': 0, 'bounds_present': False, 'objective_terms_count': 2, 'constraints_to_variables_ratio': 0.5}","{'objective_present': True, 'variables_present': True, 'constraints_present': True, 'empty_model': False, 'objective_has_variable': True, 'objective_variable_coverage': 1.0, 'constraints_to_variables_ratio': 0.5, 'bounded_variables_ratio': 0.0, 'suspicious_variable_names': [], 'suspicious_variable_name_count': 0, 'suspicious_constraint_names': ['dummy_nonnegative_0'], 'suspicious_constraint_name_count': 1, 'generic_issues': ['placeholder_constraint_names'], 'generic_issue_count': 1, 'solver_error': False}",0.8280000000000001,0.8599999999999999,0.919,0.4452735999948345,single_item_multi_period,medium,192.0,Optimal,True,0.75,0.9624999999999999,1.0,1.0,executable > optimal > has_objective; no reference objective,False,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Solver-Filter,True
single_item_multi_period_0001,cand_1_remove_inventory_balance,demo_remove_inventory_balance,Executable candidate missing inventory-balance-like structure.,"{'executable': True, 'status': 'Optimal', 'objective': 0.0, 'lp_path': '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke_literature_driven\\candidate_runs\\single_item_multi_period_0001\\cand_1_remove_inventory_balance\\cand_1_remove_inventory_balance.lp', 'error': None}","{'expected': {'inventory_balance': True, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'capacity_constraint': False, 'binary_order_variable': False, 'big_m_constraint': False, 'lead_time': False, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': False}, 'detected': {'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'binary_order_variable': False, 'capacity_constraint': False, 'big_m_constraint': False, 'inventory_balance': True, 'lead_time': False, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': False}, 'passed': {'inventory_balance': True, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': True, 'capacity_constraint': True, 'binary_order_variable': True, 'big_m_constraint': True, 'lead_time': True, 'holding_cost': True, 'shortage_cost': True, 'fixed_order_cost': True}, 'missing': [], 'extra_detected': [], 'structure_score': 1.0, 'messages': []}",结构验证通过：模型包含题目所需的关键库存补货结构。,- Rename placeholder constraints to describe the mathematical restriction they encode.,"{'lp_exported': True, 'objective_present': True, 'constraints_present': True, 'variables_count': 2, 'constraints_count': 1, 'binary_variables_count': 0, 'bounds_count': 0, 'bounds_present': False, 'objective_terms_count': 2, 'constraints_to_variables_ratio': 0.5}","{'objective_present': True, 'variables_present': True, 'constraints_present': True, 'empty_model': False, 'objective_has_variable': True, 'objective_variable_coverage': 1.0, 'constraints_to_variables_ratio': 0.5, 'bounded_variables_ratio': 0.0, 'suspicious_variable_names': [], 'suspicious_variable_name_count': 0, 'suspicious_constraint_names': ['dummy_nonnegative_0'], 'suspicious_constraint_name_count': 1, 'generic_issues': ['placeholder_constraint_names'], 'generic_issue_count': 1, 'solver_error': False}",0.8280000000000001,0.8599999999999999,0.919,0.4503552000387572,single_item_multi_period,medium,876.0,Optimal,True,0.75,0.9624999999999999,1.0,1.0,executable > optimal > has_objective; no reference objective,False,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Solver-Filter,True
single_item_multi_period_0002,cand_1_remove_inventory_balance,demo_remove_inventory_balance,Executable candidate missing inventory-balance-like structure.,"{'executable': True, 'status': 'Optimal', 'objective': 0.0, 'lp_path': '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke_literature_driven\\candidate_runs\\single_item_multi_period_0002\\cand_1_remove_inventory_balance\\cand_1_remove_inventory_balance.lp', 'error': None}","{'expected': {'inventory_balance': True, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'capacity_constraint': False, 'binary_order_variable': False, 'big_m_constraint': False, 'lead_time': False, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': False}, 'detected': {'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'binary_order_variable': False, 'capacity_constraint': False, 'big_m_constraint': False, 'inventory_balance': True, 'lead_time': False, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': False}, 'passed': {'inventory_balance': True, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': True, 'capacity_constraint': True, 'binary_order_variable': True, 'big_m_constraint': True, 'lead_time': True, 'holding_cost': True, 'shortage_cost': True, 'fixed_order_cost': True}, 'missing': [], 'extra_detected': [], 'structure_score': 1.0, 'messages': []}",结构验证通过：模型包含题目所需的关键库存补货结构。,- Rename placeholder constraints to describe the mathematical restriction they encode.,"{'lp_exported': True, 'objective_present': True, 'constraints_present': True, 'variables_count': 2, 'constraints_count': 1, 'binary_variables_count': 0, 'bounds_count': 0, 'bounds_present': False, 'objective_terms_count': 2, 'constraints_to_variables_ratio': 0.5}","{'objective_present': True, 'variables_present': True, 'constraints_present': True, 'empty_model': False, 'objective_has_variable': True, 'objective_variable_coverage': 1.0, 'constraints_to_variables_ratio': 0.5, 'bounded_variables_ratio': 0.0, 'suspicious_variable_names': [], 'suspicious_variable_name_count': 0, 'suspicious_constraint_names': ['dummy_nonnegative_0'], 'suspicious_constraint_name_count': 1, 'generic_issues': ['placeholder_constraint_names'], 'generic_issue_count': 1, 'solver_error': False}",0.8280000000000001,0.8599999999999999,0.919,0.4452777999686077,single_item_multi_period,medium,140.0,Optimal,True,0.75,0.9624999999999999,1.0,1.0,executable > optimal > has_objective; no reference objective,False,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Solver-Filter,True
single_item_multi_period_shortage_0000,cand_1_remove_inventory_balance,demo_remove_inventory_balance,Executable candidate missing inventory-balance-like structure.,"{'executable': True, 'status': 'Optimal', 'objective': 0.0, 'lp_path': '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke_literature_driven\\candidate_runs\\single_item_multi_period_shortage_0000\\cand_1_remove_inventory_balance\\cand_1_remove_inventory_balance.lp', 'error': None}","{'expected': {'inventory_balance': True, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': True, 'capacity_constraint': False, 'binary_order_variable': False, 'big_m_constraint': False, 'lead_time': False, 'holding_cost': True, 'shortage_cost': True, 'fixed_order_cost': False}, 'detected': {'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'binary_order_variable': False, 'capacity_constraint': False, 'big_m_constraint': False, 'inventory_balance': True, 'lead_time': False, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': False}, 'passed': {'inventory_balance': True, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'capacity_constraint': True, 'binary_order_variable': True, 'big_m_constraint': True, 'lead_time': True, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': True}, 'missing': ['shortage_variable', 'shortage_cost'], 'extra_detected': [], 'structure_score': 0.6666666666666666, 'messages': ['Missing shortage/backorder variable B.', 'Missing shortage cost term.']}","结构验证发现以下问题：
- 题目允许缺货或包含缺货惩罚，但你的模型没有缺货变量。应加入 B[t] 或 B[i,t] 表示缺货/积压量。
- 你的目标函数缺少缺货惩罚项。应加入 shortage_cost * B[t]。
当前结构完整性分数为 0.667。请优先修复上述缺失结构。",- Rename placeholder constraints to describe the mathematical restriction they encode.,"{'lp_exported': True, 'objective_present': True, 'constraints_present': True, 'variables_count': 2, 'constraints_count': 1, 'binary_variables_count': 0, 'bounds_count': 0, 'bounds_present': False, 'objective_terms_count': 2, 'constraints_to_variables_ratio': 0.5}","{'objective_present': True, 'variables_present': True, 'constraints_present': True, 'empty_model': False, 'objective_has_variable': True, 'objective_variable_coverage': 1.0, 'constraints_to_variables_ratio': 0.5, 'bounded_variables_ratio': 0.0, 'suspicious_variable_names': [], 'suspicious_variable_name_count': 0, 'suspicious_constraint_names': ['dummy_nonnegative_0'], 'suspicious_constraint_name_count': 1, 'generic_issues': ['placeholder_constraint_names'], 'generic_issue_count': 1, 'solver_error': False}",0.8280000000000001,0.8599999999999999,0.919,0.46382800000719726,single_item_multi_period_shortage,medium,208.0,Optimal,True,0.75,0.9624999999999999,1.0,1.0,executable > optimal > has_objective; no reference objective,False,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.8333333333333333,Solver-Filter,True
single_item_multi_period_shortage_0001,cand_1_remove_inventory_balance,demo_remove_inventory_balance,Executable candidate missing inventory-balance-like structure.,"{'executable': True, 'status': 'Optimal', 'objective': 0.0, 'lp_path': '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke_literature_driven\\candidate_runs\\single_item_multi_period_shortage_0001\\cand_1_remove_inventory_balance\\cand_1_remove_inventory_balance.lp', 'error': None}","{'expected': {'inventory_balance': True, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': True, 'capacity_constraint': False, 'binary_order_variable': False, 'big_m_constraint': False, 'lead_time': False, 'holding_cost': True, 'shortage_cost': True, 'fixed_order_cost': False}, 'detected': {'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'binary_order_variable': False, 'capacity_constraint': False, 'big_m_constraint': False, 'inventory_balance': True, 'lead_time': False, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': False}, 'passed': {'inventory_balance': True, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'capacity_constraint': True, 'binary_order_variable': True, 'big_m_constraint': True, 'lead_time': True, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': True}, 'missing': ['shortage_variable', 'shortage_cost'], 'extra_detected': [], 'structure_score': 0.6666666666666666, 'messages': ['Missing shortage/backorder variable B.', 'Missing shortage cost term.']}","结构验证发现以下问题：
- 题目允许缺货或包含缺货惩罚，但你的模型没有缺货变量。应加入 B[t] 或 B[i,t] 表示缺货/积压量。
- 你的目标函数缺少缺货惩罚项。应加入 shortage_cost * B[t]。
当前结构完整性分数为 0.667。请优先修复上述缺失结构。",- Rename placeholder constraints to describe the mathematical restriction they encode.,"{'lp_exported': True, 'objective_present': True, 'constraints_present': True, 'variables_count': 2, 'constraints_count': 1, 'binary_variables_count': 0, 'bounds_count': 0, 'bounds_present': False, 'objective_terms_count': 2, 'constraints_to_variables_ratio': 0.5}","{'objective_present': True, 'variables_present': True, 'constraints_present': True, 'empty_model': False, 'objective_has_variable': True, 'objective_variable_coverage': 1.0, 'constraints_to_variables_ratio': 0.5, 'bounded_variables_ratio': 0.0, 'suspicious_variable_names': [], 'suspicious_variable_name_count': 0, 'suspicious_constraint_names': ['dummy_nonnegative_0'], 'suspicious_constraint_name_count': 1, 'generic_issues': ['placeholder_constraint_names'], 'generic_issue_count': 1, 'solver_error': False}",0.8280000000000001,0.8599999999999999,0.919,0.44857710000360385,single_item_multi_period_shortage,medium,235.0,Optimal,True,0.75,0.9624999999999999,1.0,1.0,executable > optimal > has_objective; no reference objective,False,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.8333333333333333,Solver-Filter,True
single_item_multi_period_shortage_0002,cand_1_remove_inventory_balance,demo_remove_inventory_balance,Executable candidate missing inventory-balance-like structure.,"{'executable': True, 'status': 'Optimal', 'objective': 0.0, 'lp_path': '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke_literature_driven\\candidate_runs\\single_item_multi_period_shortage_0002\\cand_1_remove_inventory_balance\\cand_1_remove_inventory_balance.lp', 'error': None}","{'expected': {'inventory_balance': True, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': True, 'capacity_constraint': False, 'binary_order_variable': False, 'big_m_constraint': False, 'lead_time': False, 'holding_cost': True, 'shortage_cost': True, 'fixed_order_cost': False}, 'detected': {'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'binary_order_variable': False, 'capacity_constraint': False, 'big_m_constraint': False, 'inventory_balance': True, 'lead_time': False, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': False}, 'passed': {'inventory_balance': True, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'capacity_constraint': True, 'binary_order_variable': True, 'big_m_constraint': True, 'lead_time': True, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': True}, 'missing': ['shortage_variable', 'shortage_cost'], 'extra_detected': [], 'structure_score': 0.6666666666666666, 'messages': ['Missing shortage/backorder variable B.', 'Missing shortage cost term.']}","结构验证发现以下问题：
- 题目允许缺货或包含缺货惩罚，但你的模型没有缺货变量。应加入 B[t] 或 B[i,t] 表示缺货/积压量。
- 你的目标函数缺少缺货惩罚项。应加入 shortage_cost * B[t]。
当前结构完整性分数为 0.667。请优先修复上述缺失结构。",- Rename placeholder constraints to describe the mathematical restriction they encode.,"{'lp_exported': True, 'objective_present': True, 'constraints_present': True, 'variables_count': 2, 'constraints_count': 1, 'binary_variables_count': 0, 'bounds_count': 0, 'bounds_present': False, 'objective_terms_count': 2, 'constraints_to_variables_ratio': 0.5}","{'objective_present': True, 'variables_present': True, 'constraints_present': True, 'empty_model': False, 'objective_has_variable': True, 'objective_variable_coverage': 1.0, 'constraints_to_variables_ratio': 0.5, 'bounded_variables_ratio': 0.0, 'suspicious_variable_names': [], 'suspicious_variable_name_count': 0, 'suspicious_constraint_names': ['dummy_nonnegative_0'], 'suspicious_constraint_name_count': 1, 'generic_issues': ['placeholder_constraint_names'], 'generic_issue_count': 1, 'solver_error': False}",0.8280000000000001,0.8599999999999999,0.919,0.4464000000152737,single_item_multi_period_shortage,medium,360.0,Optimal,True,0.75,0.9624999999999999,1.0,1.0,executable > optimal > has_objective; no reference objective,False,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.8333333333333333,Solver-Filter,True
multi_item_capacity_0000,cand_1_remove_inventory_balance,demo_remove_inventory_balance,Executable candidate missing inventory-balance-like structure.,"{'executable': True, 'status': 'Optimal', 'objective': 0.0, 'lp_path': '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke_literature_driven\\candidate_runs\\multi_item_capacity_0000\\cand_1_remove_inventory_balance\\cand_1_remove_inventory_balance.lp', 'error': None}","{'expected': {'inventory_balance': True, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'capacity_constraint': True, 'binary_order_variable': False, 'big_m_constraint': False, 'lead_time': False, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': False}, 'detected': {'order_variable': True, 'inventory_variable': True, 'shortage_variable': False, 'binary_order_variable': False, 'capacity_constraint': False, 'big_m_constraint': False, 'inventory_balance': True, 'lead_time': False, 'holding_cost': True, 'shortage_cost': False, 'fixed_order_cost': False}, 'passed': {'inventory_balance': True, 'order_variable': True, 'inventory_variable': True, 'shortage_variable': True, 'capacity_constraint': False, 'binary_order_variable': True, 'big_m_constraint': True, 'lead_time': True, 'holding_cost': True, 'shortage_cost': True, 'fixed_order_cost': True}, 'missing': ['capacity_constraint'], 'extra_detected': [], 'structure_score': 0.8, 'messages': ['Missing capacity constraint.']}","结构验证发现以下问题：
- 题目包含容量限制，但你的模型没有容量约束。应加入类似 sum_i volume[i] * I[i,t] <= capacity 的约束。
当前结构完整性分数为 0.800。请优先修复上述缺失结构。",- Rename placeholder constraints to describe the mathematical restriction they encode.,"{'lp_exported': True, 'objective_present': True, 'constraints_present': True, 'variables_count': 2, 'constraints_count': 1, 'binary_variables_count': 0, 'bounds_count': 0, 'bounds_present': False, 'objective_terms_count': 2, 'constraints_to_variables_ratio': 0.5}","{'objective_present': True, 'variables_present': True, 'constraints_present': True, 'empty_model': False, 'objective_has_variable': True, 'objective_variable_coverage': 1.0, 'constraints_to_variables_ratio': 0.5, 'bounded_variables_ratio': 0.0, 'suspicious_variable_names': [], 'suspicious_variable_name_count': 0, 'suspicious_constraint_names': ['dummy_nonnegative_0'], 'suspicious_constraint_name_count': 1, 'generic_issues': ['placeholder_constraint_names'], 'generic_issue_count': 1, 'solver_error': False}",0.8280000000000001,0.8599999999999999,0.919,0.43508189998101443,multi_item_capacity,hard,745.0,Optimal,True,0.5,0.9249999999999999,1.0,1.0,executable > optimal > has_objective; no reference objective,False,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8,0.8,1.0,0.8,0.9,Solver-Filter,True
