method,problem_id,candidate_id,problem_type,difficulty,selected,executable,status,objective,reference_objective,score,objective_correct,relative_error,structure_score,semantic_consistency_score,runtime_sec,repair_feedback_count,error,expected_inventory_balance,detected_inventory_balance,expected_order_variable,detected_order_variable,expected_inventory_variable,detected_inventory_variable,expected_shortage_variable,detected_shortage_variable,expected_capacity_constraint,detected_capacity_constraint,expected_binary_order_variable,detected_binary_order_variable,expected_big_m_constraint,detected_big_m_constraint,expected_lead_time,detected_lead_time,expected_holding_cost,detected_holding_cost,expected_shortage_cost,detected_shortage_cost,expected_fixed_order_cost,detected_fixed_order_cost
,single_period_newsvendor_0000,cand_0_syntax_error,single_period_newsvendor,easy,False,False,Error,,111.0,0.0,0.0,,0.0,0.0,0.41629729996202514,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs\single_period_newsvendor_0000\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs\single_period_newsvendor_0000\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
,single_period_newsvendor_0000,cand_1_remove_inventory_balance,single_period_newsvendor,easy,False,True,Optimal,0.0,111.0,0.7999999999999999,0.0,1.0,0.6,0.6,0.4428079999634065,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0000,cand_2_remove_capacity_constraint,single_period_newsvendor,easy,False,True,Optimal,0.0,111.0,0.7999999999999999,0.0,1.0,0.6,0.6,0.42240480001783,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0000,cand_3_remove_big_m_constraint,single_period_newsvendor,easy,False,True,Optimal,0.0,111.0,0.7999999999999999,0.0,1.0,0.6,0.6,0.41904810001142323,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0000,cand_4_correct,single_period_newsvendor,easy,False,True,Optimal,111.0,111.0,1.0,1.0,0.0,1.0,1.0,0.4621974999899976,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False
,single_period_newsvendor_0001,cand_0_syntax_error,single_period_newsvendor,easy,False,False,Error,,122.0,0.0,0.0,,0.0,0.0,0.4197520000161603,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs\single_period_newsvendor_0001\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs\single_period_newsvendor_0001\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
,single_period_newsvendor_0001,cand_1_remove_inventory_balance,single_period_newsvendor,easy,False,True,Optimal,0.0,122.0,0.7999999999999999,0.0,1.0,0.6,0.6,0.46482900000410154,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0001,cand_2_remove_capacity_constraint,single_period_newsvendor,easy,False,True,Optimal,0.0,122.0,0.7999999999999999,0.0,1.0,0.6,0.6,0.4263519999803975,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0001,cand_3_remove_big_m_constraint,single_period_newsvendor,easy,False,True,Optimal,0.0,122.0,0.7999999999999999,0.0,1.0,0.6,0.6,0.43474840000271797,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0001,cand_4_correct,single_period_newsvendor,easy,False,True,Optimal,122.0,122.0,1.0,1.0,0.0,1.0,1.0,0.4784769000252709,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False
,single_period_newsvendor_0002,cand_0_syntax_error,single_period_newsvendor,easy,False,False,Error,,580.0,0.0,0.0,,0.0,0.0,0.4122118999948725,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs\single_period_newsvendor_0002\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs\single_period_newsvendor_0002\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
,single_period_newsvendor_0002,cand_1_remove_inventory_balance,single_period_newsvendor,easy,False,True,Optimal,0.0,580.0,0.7999999999999999,0.0,1.0,0.6,0.6,0.447202599956654,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0002,cand_2_remove_capacity_constraint,single_period_newsvendor,easy,False,True,Optimal,0.0,580.0,0.7999999999999999,0.0,1.0,0.6,0.6,0.4288253000122495,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0002,cand_3_remove_big_m_constraint,single_period_newsvendor,easy,False,True,Optimal,0.0,580.0,0.7999999999999999,0.0,1.0,0.6,0.6,0.4659885000437498,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0002,cand_4_correct,single_period_newsvendor,easy,False,True,Optimal,580.0,580.0,1.0,1.0,0.0,1.0,1.0,0.482829499989748,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False
,single_item_multi_period_0000,cand_0_syntax_error,single_item_multi_period,medium,False,False,Error,,192.0,0.0,0.0,,0.0,0.0,0.40216030000010505,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs\single_item_multi_period_0000\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs\single_item_multi_period_0000\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
,single_item_multi_period_0000,cand_1_remove_inventory_balance,single_item_multi_period,medium,False,True,Optimal,0.0,192.0,1.0,0.0,1.0,1.0,1.0,0.43203980004182085,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0000,cand_2_remove_capacity_constraint,single_item_multi_period,medium,False,True,Optimal,0.0,192.0,1.0,0.0,1.0,1.0,1.0,0.4523959999787621,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0000,cand_3_remove_big_m_constraint,single_item_multi_period,medium,False,True,Optimal,0.0,192.0,1.0,0.0,1.0,1.0,1.0,0.4305842000176199,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0000,cand_4_correct,single_item_multi_period,medium,False,True,Optimal,192.0,192.0,1.0,1.0,0.0,1.0,1.0,0.4793828999972902,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0001,cand_0_syntax_error,single_item_multi_period,medium,False,False,Error,,876.0,0.0,0.0,,0.0,0.0,0.4333418000023812,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs\single_item_multi_period_0001\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs\single_item_multi_period_0001\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
,single_item_multi_period_0001,cand_1_remove_inventory_balance,single_item_multi_period,medium,False,True,Optimal,0.0,876.0,1.0,0.0,1.0,1.0,1.0,0.443469499994535,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0001,cand_2_remove_capacity_constraint,single_item_multi_period,medium,False,True,Optimal,0.0,876.0,1.0,0.0,1.0,1.0,1.0,0.4259491999982856,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0001,cand_3_remove_big_m_constraint,single_item_multi_period,medium,False,True,Optimal,0.0,876.0,1.0,0.0,1.0,1.0,1.0,0.4366920000175014,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0001,cand_4_correct,single_item_multi_period,medium,False,True,Optimal,876.0,876.0,1.0,1.0,0.0,1.0,1.0,0.466390399960801,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0002,cand_0_syntax_error,single_item_multi_period,medium,False,False,Error,,140.0,0.0,0.0,,0.0,0.0,0.4203572000260465,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs\single_item_multi_period_0002\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs\single_item_multi_period_0002\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
,single_item_multi_period_0002,cand_1_remove_inventory_balance,single_item_multi_period,medium,False,True,Optimal,0.0,140.0,1.0,0.0,1.0,1.0,1.0,0.46677549998275936,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0002,cand_2_remove_capacity_constraint,single_item_multi_period,medium,False,True,Optimal,0.0,140.0,1.0,0.0,1.0,1.0,1.0,0.4446359999710694,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0002,cand_3_remove_big_m_constraint,single_item_multi_period,medium,False,True,Optimal,0.0,140.0,1.0,0.0,1.0,1.0,1.0,0.4229143999982625,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0002,cand_4_correct,single_item_multi_period,medium,False,True,Optimal,140.0,140.0,1.0,1.0,0.0,1.0,1.0,0.4635882999864407,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_shortage_0000,cand_0_syntax_error,single_item_multi_period_shortage,medium,False,False,Error,,208.0,0.0,0.0,,0.0,0.0,0.4129489000188187,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs\single_item_multi_period_shortage_0000\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs\single_item_multi_period_shortage_0000\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
,single_item_multi_period_shortage_0000,cand_1_remove_inventory_balance,single_item_multi_period_shortage,medium,False,True,Optimal,0.0,208.0,0.8333333333333333,0.0,1.0,0.6666666666666666,0.6666666666666666,0.4243309000157751,2,,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_item_multi_period_shortage_0000,cand_2_remove_capacity_constraint,single_item_multi_period_shortage,medium,False,True,Optimal,0.0,208.0,0.8333333333333333,0.0,1.0,0.6666666666666666,0.6666666666666666,0.42791520000901073,2,,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_item_multi_period_shortage_0000,cand_3_remove_big_m_constraint,single_item_multi_period_shortage,medium,False,True,Optimal,0.0,208.0,0.8333333333333333,0.0,1.0,0.6666666666666666,0.6666666666666666,0.448008099978324,2,,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_item_multi_period_shortage_0000,cand_4_correct,single_item_multi_period_shortage,medium,False,True,Optimal,208.0,208.0,1.0,1.0,0.0,1.0,1.0,0.484271900029853,0,,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False
,single_item_multi_period_shortage_0001,cand_0_syntax_error,single_item_multi_period_shortage,medium,False,False,Error,,235.0,0.0,0.0,,0.0,0.0,0.4080555000109598,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs\single_item_multi_period_shortage_0001\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs\single_item_multi_period_shortage_0001\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
,single_item_multi_period_shortage_0001,cand_1_remove_inventory_balance,single_item_multi_period_shortage,medium,False,True,Optimal,0.0,235.0,0.8333333333333333,0.0,1.0,0.6666666666666666,0.6666666666666666,0.43039569997927174,2,,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_item_multi_period_shortage_0001,cand_2_remove_capacity_constraint,single_item_multi_period_shortage,medium,False,True,Optimal,0.0,235.0,0.8333333333333333,0.0,1.0,0.6666666666666666,0.6666666666666666,0.4550399000290781,2,,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_item_multi_period_shortage_0001,cand_3_remove_big_m_constraint,single_item_multi_period_shortage,medium,False,True,Optimal,0.0,235.0,0.8333333333333333,0.0,1.0,0.6666666666666666,0.6666666666666666,0.424131799954921,2,,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_item_multi_period_shortage_0001,cand_4_correct,single_item_multi_period_shortage,medium,False,True,Optimal,235.0,235.0,1.0,1.0,0.0,1.0,1.0,0.46453090000431985,0,,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False
,single_item_multi_period_shortage_0002,cand_0_syntax_error,single_item_multi_period_shortage,medium,False,False,Error,,360.0,0.0,0.0,,0.0,0.0,0.4442236000322737,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs\single_item_multi_period_shortage_0002\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs\single_item_multi_period_shortage_0002\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
,single_item_multi_period_shortage_0002,cand_1_remove_inventory_balance,single_item_multi_period_shortage,medium,False,True,Optimal,0.0,360.0,0.8333333333333333,0.0,1.0,0.6666666666666666,0.6666666666666666,0.4416207000031136,2,,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
