method,problem_id,candidate_id,problem_type,difficulty,selected,executable,status,objective,reference_objective,score,objective_correct,relative_error,structure_score,semantic_consistency_score,sirl_like_lp_stats_score,optargus_like_audit_score,optirepair_like_repair_score,or_r1_like_voting_score,objective_consensus_score,selection_policy,uses_reference_objective_for_selection,runtime_sec,repair_feedback_count,error,expected_inventory_balance,detected_inventory_balance,expected_order_variable,detected_order_variable,expected_inventory_variable,detected_inventory_variable,expected_shortage_variable,detected_shortage_variable,expected_capacity_constraint,detected_capacity_constraint,expected_binary_order_variable,detected_binary_order_variable,expected_big_m_constraint,detected_big_m_constraint,expected_lead_time,detected_lead_time,expected_holding_cost,detected_holding_cost,expected_shortage_cost,detected_shortage_cost,expected_fixed_order_cost,detected_fixed_order_cost
,single_period_newsvendor_0000,cand_0_syntax_error,single_period_newsvendor,easy,False,False,Error,,111.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.024999999999999994,0.0,0.0,executable + optimal + LP structure + semantic consistency; no reference objective,False,0.4068853000062518,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_literature_driven\candidate_runs\single_period_newsvendor_0000\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_literature_driven\candidate_runs\single_period_newsvendor_0000\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
,single_period_newsvendor_0000,cand_1_remove_inventory_balance,single_period_newsvendor,easy,False,True,Optimal,0.0,111.0,0.7999999999999999,0.0,1.0,0.6,0.6,0.8280000000000001,0.8599999999999999,0.919,0.9624999999999999,0.75,executable + optimal + LP structure + semantic consistency; no reference objective,False,0.4237960000173189,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0000,cand_2_remove_capacity_constraint,single_period_newsvendor,easy,False,True,Optimal,0.0,111.0,0.7999999999999999,0.0,1.0,0.6,0.6,0.8280000000000001,0.8599999999999999,0.919,0.9624999999999999,0.75,executable + optimal + LP structure + semantic consistency; no reference objective,False,0.4335539999883622,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0000,cand_3_remove_big_m_constraint,single_period_newsvendor,easy,False,True,Optimal,0.0,111.0,0.7999999999999999,0.0,1.0,0.6,0.6,0.8280000000000001,0.8599999999999999,0.919,0.9624999999999999,0.75,executable + optimal + LP structure + semantic consistency; no reference objective,False,0.4563670000061393,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0000,cand_4_correct,single_period_newsvendor,easy,False,True,Optimal,111.0,111.0,1.0,1.0,0.0,1.0,1.0,0.8640000000000001,0.95,0.9800000000000001,0.8875,0.25,executable + optimal + LP structure + semantic consistency; no reference objective,False,0.5257761000539176,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False
,single_period_newsvendor_0001,cand_0_syntax_error,single_period_newsvendor,easy,False,False,Error,,122.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.024999999999999994,0.0,0.0,executable + optimal + LP structure + semantic consistency; no reference objective,False,0.42587519995868206,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_literature_driven\candidate_runs\single_period_newsvendor_0001\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_literature_driven\candidate_runs\single_period_newsvendor_0001\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
,single_period_newsvendor_0001,cand_1_remove_inventory_balance,single_period_newsvendor,easy,False,True,Optimal,0.0,122.0,0.7999999999999999,0.0,1.0,0.6,0.6,0.8280000000000001,0.8599999999999999,0.919,0.9624999999999999,0.75,executable + optimal + LP structure + semantic consistency; no reference objective,False,0.44013730000006035,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0001,cand_2_remove_capacity_constraint,single_period_newsvendor,easy,False,True,Optimal,0.0,122.0,0.7999999999999999,0.0,1.0,0.6,0.6,0.8280000000000001,0.8599999999999999,0.919,0.9624999999999999,0.75,executable + optimal + LP structure + semantic consistency; no reference objective,False,0.42368420003913343,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0001,cand_3_remove_big_m_constraint,single_period_newsvendor,easy,False,True,Optimal,0.0,122.0,0.7999999999999999,0.0,1.0,0.6,0.6,0.8280000000000001,0.8599999999999999,0.919,0.9624999999999999,0.75,executable + optimal + LP structure + semantic consistency; no reference objective,False,0.4409674999769777,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0001,cand_4_correct,single_period_newsvendor,easy,False,True,Optimal,122.0,122.0,1.0,1.0,0.0,1.0,1.0,0.8640000000000001,0.95,0.9800000000000001,0.8875,0.25,executable + optimal + LP structure + semantic consistency; no reference objective,False,0.4760085000307299,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False
