problem_id,candidate_id,candidate_method,generated_text,execution,structure_verification,feedback,runtime_sec,problem_type,difficulty,reference_objective,reference_status,score,executable_score,feasible_score,optimal_score,objective_score,objective_correct,relative_error,structure_score,semantic_consistency_score,solver_only_score,structure_only_score,method_name,selected
single_period_newsvendor_0000,cand_0_syntax_error,demo_syntax_error,Non-executable candidate for robustness testing.,"{'executable': False, 'status': 'Error', 'objective': None, 'lp_path': None, 'error': 'Traceback (most recent call last):\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\single_period_newsvendor_0000\\cand_0_syntax_error\\_runner.py"", line 16, in <module>\n    spec.loader.exec_module(mod)\n    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^\n  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module\n  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code\n  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code\n  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\single_period_newsvendor_0000\\cand_0_syntax_error\\cand_0_syntax_error.py"", line 1\n    def build_model(:\n                    ^\nSyntaxError: invalid syntax\n'}",,候选代码没有成功导出 LP，因此无法执行结构验证。,0.44055719999596477,single_period_newsvendor,easy,111.0,Optimal,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Direct,True
single_period_newsvendor_0001,cand_0_syntax_error,demo_syntax_error,Non-executable candidate for robustness testing.,"{'executable': False, 'status': 'Error', 'objective': None, 'lp_path': None, 'error': 'Traceback (most recent call last):\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\single_period_newsvendor_0001\\cand_0_syntax_error\\_runner.py"", line 16, in <module>\n    spec.loader.exec_module(mod)\n    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^\n  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module\n  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code\n  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code\n  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\single_period_newsvendor_0001\\cand_0_syntax_error\\cand_0_syntax_error.py"", line 1\n    def build_model(:\n                    ^\nSyntaxError: invalid syntax\n'}",,候选代码没有成功导出 LP，因此无法执行结构验证。,0.4189580000238493,single_period_newsvendor,easy,122.0,Optimal,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Direct,True
single_period_newsvendor_0002,cand_0_syntax_error,demo_syntax_error,Non-executable candidate for robustness testing.,"{'executable': False, 'status': 'Error', 'objective': None, 'lp_path': None, 'error': 'Traceback (most recent call last):\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\single_period_newsvendor_0002\\cand_0_syntax_error\\_runner.py"", line 16, in <module>\n    spec.loader.exec_module(mod)\n    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^\n  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module\n  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code\n  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code\n  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\single_period_newsvendor_0002\\cand_0_syntax_error\\cand_0_syntax_error.py"", line 1\n    def build_model(:\n                    ^\nSyntaxError: invalid syntax\n'}",,候选代码没有成功导出 LP，因此无法执行结构验证。,0.43516659998567775,single_period_newsvendor,easy,580.0,Optimal,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Direct,True
single_item_multi_period_0000,cand_0_syntax_error,demo_syntax_error,Non-executable candidate for robustness testing.,"{'executable': False, 'status': 'Error', 'objective': None, 'lp_path': None, 'error': 'Traceback (most recent call last):\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\single_item_multi_period_0000\\cand_0_syntax_error\\_runner.py"", line 16, in <module>\n    spec.loader.exec_module(mod)\n    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^\n  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module\n  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code\n  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code\n  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\single_item_multi_period_0000\\cand_0_syntax_error\\cand_0_syntax_error.py"", line 1\n    def build_model(:\n                    ^\nSyntaxError: invalid syntax\n'}",,候选代码没有成功导出 LP，因此无法执行结构验证。,0.4236069000326097,single_item_multi_period,medium,192.0,Optimal,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Direct,True
single_item_multi_period_0001,cand_0_syntax_error,demo_syntax_error,Non-executable candidate for robustness testing.,"{'executable': False, 'status': 'Error', 'objective': None, 'lp_path': None, 'error': 'Traceback (most recent call last):\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\single_item_multi_period_0001\\cand_0_syntax_error\\_runner.py"", line 16, in <module>\n    spec.loader.exec_module(mod)\n    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^\n  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module\n  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code\n  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code\n  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\single_item_multi_period_0001\\cand_0_syntax_error\\cand_0_syntax_error.py"", line 1\n    def build_model(:\n                    ^\nSyntaxError: invalid syntax\n'}",,候选代码没有成功导出 LP，因此无法执行结构验证。,0.4624002000200562,single_item_multi_period,medium,876.0,Optimal,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Direct,True
single_item_multi_period_0002,cand_0_syntax_error,demo_syntax_error,Non-executable candidate for robustness testing.,"{'executable': False, 'status': 'Error', 'objective': None, 'lp_path': None, 'error': 'Traceback (most recent call last):\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\single_item_multi_period_0002\\cand_0_syntax_error\\_runner.py"", line 16, in <module>\n    spec.loader.exec_module(mod)\n    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^\n  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module\n  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code\n  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code\n  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\single_item_multi_period_0002\\cand_0_syntax_error\\cand_0_syntax_error.py"", line 1\n    def build_model(:\n                    ^\nSyntaxError: invalid syntax\n'}",,候选代码没有成功导出 LP，因此无法执行结构验证。,0.41246800002409145,single_item_multi_period,medium,140.0,Optimal,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Direct,True
single_item_multi_period_shortage_0000,cand_0_syntax_error,demo_syntax_error,Non-executable candidate for robustness testing.,"{'executable': False, 'status': 'Error', 'objective': None, 'lp_path': None, 'error': 'Traceback (most recent call last):\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\single_item_multi_period_shortage_0000\\cand_0_syntax_error\\_runner.py"", line 16, in <module>\n    spec.loader.exec_module(mod)\n    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^\n  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module\n  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code\n  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code\n  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\single_item_multi_period_shortage_0000\\cand_0_syntax_error\\cand_0_syntax_error.py"", line 1\n    def build_model(:\n                    ^\nSyntaxError: invalid syntax\n'}",,候选代码没有成功导出 LP，因此无法执行结构验证。,0.4127436999697238,single_item_multi_period_shortage,medium,208.0,Optimal,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Direct,True
single_item_multi_period_shortage_0001,cand_0_syntax_error,demo_syntax_error,Non-executable candidate for robustness testing.,"{'executable': False, 'status': 'Error', 'objective': None, 'lp_path': None, 'error': 'Traceback (most recent call last):\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\single_item_multi_period_shortage_0001\\cand_0_syntax_error\\_runner.py"", line 16, in <module>\n    spec.loader.exec_module(mod)\n    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^\n  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module\n  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code\n  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code\n  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\single_item_multi_period_shortage_0001\\cand_0_syntax_error\\cand_0_syntax_error.py"", line 1\n    def build_model(:\n                    ^\nSyntaxError: invalid syntax\n'}",,候选代码没有成功导出 LP，因此无法执行结构验证。,0.41547589999390766,single_item_multi_period_shortage,medium,235.0,Optimal,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Direct,True
single_item_multi_period_shortage_0002,cand_0_syntax_error,demo_syntax_error,Non-executable candidate for robustness testing.,"{'executable': False, 'status': 'Error', 'objective': None, 'lp_path': None, 'error': 'Traceback (most recent call last):\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\single_item_multi_period_shortage_0002\\cand_0_syntax_error\\_runner.py"", line 16, in <module>\n    spec.loader.exec_module(mod)\n    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^\n  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module\n  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code\n  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code\n  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\single_item_multi_period_shortage_0002\\cand_0_syntax_error\\cand_0_syntax_error.py"", line 1\n    def build_model(:\n                    ^\nSyntaxError: invalid syntax\n'}",,候选代码没有成功导出 LP，因此无法执行结构验证。,0.4472823000396602,single_item_multi_period_shortage,medium,360.0,Optimal,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Direct,True
multi_item_capacity_0000,cand_0_syntax_error,demo_syntax_error,Non-executable candidate for robustness testing.,"{'executable': False, 'status': 'Error', 'objective': None, 'lp_path': None, 'error': 'Traceback (most recent call last):\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\multi_item_capacity_0000\\cand_0_syntax_error\\_runner.py"", line 16, in <module>\n    spec.loader.exec_module(mod)\n    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^\n  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module\n  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code\n  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code\n  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed\n  File ""\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\smoke\\candidate_runs\\multi_item_capacity_0000\\cand_0_syntax_error\\cand_0_syntax_error.py"", line 1\n    def build_model(:\n                    ^\nSyntaxError: invalid syntax\n'}",,候选代码没有成功导出 LP，因此无法执行结构验证。,0.4060118999914266,multi_item_capacity,hard,745.0,Optimal,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Direct,True
