method,problem_id,candidate_id,problem_type,difficulty,selected,executable,status,objective,reference_objective,score,objective_correct,relative_error,structure_score,semantic_consistency_score,sirl_like_lp_stats_score,optargus_like_audit_score,optirepair_like_repair_score,or_r1_like_voting_score,objective_consensus_score,selection_policy,uses_reference_objective_for_selection,runtime_sec,repair_feedback_count,error,expected_inventory_balance,detected_inventory_balance,expected_order_variable,detected_order_variable,expected_inventory_variable,detected_inventory_variable,expected_shortage_variable,detected_shortage_variable,expected_capacity_constraint,detected_capacity_constraint,expected_binary_order_variable,detected_binary_order_variable,expected_big_m_constraint,detected_big_m_constraint,expected_lead_time,detected_lead_time,expected_order_cost,detected_order_cost,expected_holding_cost,detected_holding_cost,expected_shortage_cost,detected_shortage_cost,expected_fixed_order_cost,detected_fixed_order_cost,expected_demand_satisfaction,detected_demand_satisfaction,expected_nonnegative_bounds,detected_nonnegative_bounds,expected_objective_minimize,detected_objective_minimize
Direct,single_period_newsvendor_0000,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,111.0,111.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8933333333333334,0.9916666666666666,0.9966666666666667,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.14030186599120498,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0001,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,122.0,122.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8933333333333334,0.9916666666666666,0.9966666666666667,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.09947516000829637,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0002,Qwen3-8B_k0,single_period_newsvendor,easy,True,False,Error,,580.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.024999999999999994,0.1,0.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.07535472698509693,0,"Traceback (most recent call last):
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_v8_candidate_diversity_safe_tac_v2_20260625_083905/candidate_runs/single_period_newsvendor_0002/Qwen3-8B_k0/_runner.py"", line 53, in <module>
    model = namespace[""build_model""]()
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_v8_candidate_diversity_safe_tac_v2_20260625_083905/candidate_runs/single_period_newsvendor_0002/Qwen3-8B_k0/Qwen3-8B_k0.py"", line 22, in build_model
    holding_cost = max(0, order_quantity - 116) * 1
TypeError: '>' not supported between instances of 'LpAffineExpression' and 'int'
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct,single_period_newsvendor_0003,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Unbounded,420.0,84.0,0.0,0.0,4.0,0.5555555555555556,0.5555555555555556,0.6480000000000001,0.8600000000000001,0.7440000000000001,0.6,0.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.1103676880011335,3,,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,False,True,True,True,True
Direct,single_period_newsvendor_0004,Qwen3-8B_k0,single_period_newsvendor,easy,True,False,Error,,114.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.024999999999999994,0.1,0.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.06884749804157764,0,"Traceback (most recent call last):
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_v8_candidate_diversity_safe_tac_v2_20260625_083905/candidate_runs/single_period_newsvendor_0004/Qwen3-8B_k0/_runner.py"", line 53, in <module>
    model = namespace[""build_model""]()
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_v8_candidate_diversity_safe_tac_v2_20260625_083905/candidate_runs/single_period_newsvendor_0004/Qwen3-8B_k0/Qwen3-8B_k0.py"", line 10, in build_model
    prob += (unit_order_cost * order_quantity) + (holding_cost * (order_quantity - demand)) + (shortage_cost * max(demand - order_quantity, 0))
TypeError: '>' not supported between instances of 'int' and 'LpAffineExpression'
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct,single_period_newsvendor_0005,Qwen3-8B_k0,single_period_newsvendor,easy,True,False,Error,,275.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.024999999999999994,0.1,0.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.07485870399978012,0,"Traceback (most recent call last):
  File ""/home/cosine/DAR/ReplenishVerifier/replenishverifier/solver/pulp_runner.py"", line 35, in _export_lp
    model.writeLP(str(lp_path))
  File ""/home/cosine/.conda/envs/replenish/lib/python3.10/site-packages/pulp/pulp.py"", line 1769, in writeLP
    return mpslp.writeLP(
  File ""/home/cosine/.conda/envs/replenish/lib/python3.10/site-packages/pulp/mps_lp.py"", line 336, in writeLP
    f.write(LpProblem.objective.asCplexLpAffineExpression(objName, constant=0))
  File ""/home/cosine/.conda/envs/replenish/lib/python3.10/site-packages/pulp/pulp.py"", line 826, in asCplexLpAffineExpression
    result, line = self.asCplexVariablesOnly(name)
  File ""/home/cosine/.conda/envs/replenish/lib/python3.10/site-packages/pulp/pulp.py"", line 797, in asCplexVariablesOnly
    variables = self.sorted_keys()
  File ""/home/cosine/.conda/envs/replenish/lib/python3.10/site-packages/pulp/pulp.py"", line 774, in sorted_keys
    result = [(v.name, v) for v in self.keys()]
  File ""/home/cosine/.conda/envs/replenish/lib/python3.10/site-packages/pulp/pulp.py"", line 774, in <listcomp>
    result = [(v.name, v) for v in self.keys()]
AttributeError: 'int' object has no attribute 'name'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_v8_candidate_diversity_safe_tac_v2_20260625_083905/candidate_runs/single_period_newsvendor_0005/Qwen3-8B_k0/_runner.py"", line 58, in <module>
    solve_result = solve_pulp_model(model, lp_path=lp_path, msg=False, time_limit=time_limit)
  File ""/home/cosine/DAR/ReplenishVerifier/replenishverifier/solver/pulp_runner.py"", line 55, in solve_pulp_model
    lp_path, solver_lp_export_time = _export_lp(model, lp_path)
  File ""/home/cosine/DAR/ReplenishVerifier/replenishverifier/solver/pulp_runner.py"", line 37, in _export_lp
    raise RuntimeError(f""LP export failed: writeLP raised {exc}"") from exc
RuntimeError: LP export failed: writeLP raised 'int' object has no attribute 'name'
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct,single_period_newsvendor_0006,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,435.0,435.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8840000000000001,1.0,1.0,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.10047386691439897,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0007,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,200.0,200.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8840000000000001,1.0,1.0,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.09336246398743242,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0008,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,98.0,98.0,1.0,1.0,0.0,0.8333333333333334,1.0,0.8840000000000001,1.0,1.0,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.10041387297678739,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0009,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,164.0,164.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8933333333333334,0.9916666666666666,0.9966666666666667,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.09075052593834698,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0010,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,370.0,370.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8840000000000001,1.0,1.0,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.10577202308923006,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0011,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,440.0,440.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8933333333333334,0.9916666666666666,0.9966666666666667,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.10143452091142535,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0012,Qwen3-8B_k0,single_period_newsvendor,easy,True,False,Error,,200.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.024999999999999994,0.1,0.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.07151771592907608,0,"Traceback (most recent call last):
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_v8_candidate_diversity_safe_tac_v2_20260625_083905/candidate_runs/single_period_newsvendor_0012/Qwen3-8B_k0/_runner.py"", line 53, in <module>
    model = namespace[""build_model""]()
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_v8_candidate_diversity_safe_tac_v2_20260625_083905/candidate_runs/single_period_newsvendor_0012/Qwen3-8B_k0/Qwen3-8B_k0.py"", line 10, in build_model
    prob += (unit_order_cost * order_quantity) + (holding_cost * max(order_quantity - demand, 0)) + (shortage_cost * max(demand - order_quantity, 0)), ""Total Cost""
UnboundLocalError: local variable 'unit_order_cost' referenced before assignment
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct,single_period_newsvendor_0013,Qwen3-8B_k0,single_period_newsvendor,easy,True,False,Error,,327.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.024999999999999994,0.1,0.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.06990039709489793,0,"Traceback (most recent call last):
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_v8_candidate_diversity_safe_tac_v2_20260625_083905/candidate_runs/single_period_newsvendor_0013/Qwen3-8B_k0/_runner.py"", line 53, in <module>
    model = namespace[""build_model""]()
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_v8_candidate_diversity_safe_tac_v2_20260625_083905/candidate_runs/single_period_newsvendor_0013/Qwen3-8B_k0/Qwen3-8B_k0.py"", line 11, in build_model
    prob += unit_order_cost * order_quantity + holding_cost * pulp.LpAffineExpression([pulp.LpVariable(""overage"", lowBound=0, cat='Integer'), pulp.LpVariable(""underage"", lowBound=0, cat='Integer')]) + shortage_cost * pulp.LpVariable(""underage"", lowBound=0, cat='Integer')
  File ""/home/cosine/.conda/envs/replenish/lib/python3.10/site-packages/pulp/pulp.py"", line 688, in __init__
    super().__init__(e)
TypeError: 'LpVariable' object is not iterable
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct,single_period_newsvendor_0014,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,70.0,70.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8840000000000001,1.0,1.0,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.09599143406376243,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0015,Qwen3-8B_k0,single_period_newsvendor,easy,True,False,Error,,59.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.024999999999999994,0.1,0.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.06630680500529706,0,"Traceback (most recent call last):
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_v8_candidate_diversity_safe_tac_v2_20260625_083905/candidate_runs/single_period_newsvendor_0015/Qwen3-8B_k0/_runner.py"", line 53, in <module>
    model = namespace[""build_model""]()
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_v8_candidate_diversity_safe_tac_v2_20260625_083905/candidate_runs/single_period_newsvendor_0015/Qwen3-8B_k0/Qwen3-8B_k0.py"", line 11, in build_model
    total_cost = (order_quantity * 1) + (4 * pulp.LpAffineExpression([pulp.LpVariable(""leftovers"", lowBound=0, cat='Integer')])) + (9 * pulp.LpAffineExpression([pulp.LpVariable(""shortage"", lowBound=0, cat='Integer')]))
  File ""/home/cosine/.conda/envs/replenish/lib/python3.10/site-packages/pulp/pulp.py"", line 688, in __init__
    super().__init__(e)
TypeError: 'LpVariable' object is not iterable
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct,single_period_newsvendor_0016,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,176.0,264.0,1.0,0.0,0.3333333333333333,0.8333333333333334,1.0,0.8840000000000001,1.0,1.0,0.94375,0.625,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.10361153190024197,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0017,Qwen3-8B_k0,single_period_newsvendor,easy,True,False,Error,,150.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.024999999999999994,0.1,0.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.06930163304787129,0,"Traceback (most recent call last):
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_v8_candidate_diversity_safe_tac_v2_20260625_083905/candidate_runs/single_period_newsvendor_0017/Qwen3-8B_k0/_runner.py"", line 53, in <module>
    model = namespace[""build_model""]()
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_v8_candidate_diversity_safe_tac_v2_20260625_083905/candidate_runs/single_period_newsvendor_0017/Qwen3-8B_k0/Qwen3-8B_k0.py"", line 11, in build_model
    total_cost = (unit_order_cost * order_quantity) + (holding_cost * max(order_quantity - demand, 0)) + (shortage_cost * max(demand - order_quantity, 0))
TypeError: '>' not supported between instances of 'int' and 'LpAffineExpression'
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct,single_period_newsvendor_0018,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,112.0,112.0,1.0,1.0,0.0,0.8333333333333334,1.0,0.8840000000000001,1.0,1.0,0.9624999999999999,0.75,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.09482974105048925,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
