method_a,method_b,n_common,same_count,same_selection_rate
Best-of-K,Consensus only,50,48,0.96
Best-of-K,Direct,50,47,0.94
Best-of-K,OR-R1-like Voting,50,48,0.96
Best-of-K,OptArgus-like Audit,50,50,1.0
Best-of-K,OptiRepair-like Repair-Prompt,50,50,1.0
Best-of-K,ReplenishVerifier-Full,50,50,1.0
Best-of-K,ReplenishVerifier-Repair,50,50,1.0
Best-of-K,SIRL-like LP-Stats,50,49,0.98
Best-of-K,Solver + Consensus,50,48,0.96
Best-of-K,Solver + Structure,50,50,1.0
Best-of-K,Solver + Structure + Consensus,50,48,0.96
Best-of-K,Solver only,50,50,1.0
Best-of-K,Solver-Filter,50,50,1.0
Best-of-K,Structure + Consensus,50,48,0.96
Best-of-K,Structure only,50,50,1.0
Best-of-K,Structure-Grounded Consistency,50,48,0.96
Best-of-K,Structure-Only,50,50,1.0
Consensus only,Direct,50,47,0.94
Consensus only,OR-R1-like Voting,50,50,1.0
Consensus only,OptArgus-like Audit,50,48,0.96
Consensus only,OptiRepair-like Repair-Prompt,50,48,0.96
Consensus only,ReplenishVerifier-Full,50,48,0.96
Consensus only,ReplenishVerifier-Repair,50,48,0.96
Consensus only,SIRL-like LP-Stats,50,47,0.94
Consensus only,Solver + Consensus,50,50,1.0
Consensus only,Solver + Structure,50,48,0.96
Consensus only,Solver + Structure + Consensus,50,50,1.0
Consensus only,Solver only,50,48,0.96
Consensus only,Solver-Filter,50,48,0.96
Consensus only,Structure + Consensus,50,50,1.0
Consensus only,Structure only,50,48,0.96
Consensus only,Structure-Grounded Consistency,50,50,1.0
Consensus only,Structure-Only,50,48,0.96
Direct,OR-R1-like Voting,50,47,0.94
Direct,OptArgus-like Audit,50,47,0.94
Direct,OptiRepair-like Repair-Prompt,50,47,0.94
Direct,ReplenishVerifier-Full,50,47,0.94
Direct,ReplenishVerifier-Repair,50,47,0.94
Direct,SIRL-like LP-Stats,50,46,0.92
Direct,Solver + Consensus,50,47,0.94
Direct,Solver + Structure,50,47,0.94
Direct,Solver + Structure + Consensus,50,47,0.94
Direct,Solver only,50,47,0.94
Direct,Solver-Filter,50,47,0.94
Direct,Structure + Consensus,50,47,0.94
Direct,Structure only,50,47,0.94
Direct,Structure-Grounded Consistency,50,47,0.94
Direct,Structure-Only,50,47,0.94
OR-R1-like Voting,OptArgus-like Audit,50,48,0.96
OR-R1-like Voting,OptiRepair-like Repair-Prompt,50,48,0.96
OR-R1-like Voting,ReplenishVerifier-Full,50,48,0.96
OR-R1-like Voting,ReplenishVerifier-Repair,50,48,0.96
OR-R1-like Voting,SIRL-like LP-Stats,50,47,0.94
OR-R1-like Voting,Solver + Consensus,50,50,1.0
OR-R1-like Voting,Solver + Structure,50,48,0.96
OR-R1-like Voting,Solver + Structure + Consensus,50,50,1.0
OR-R1-like Voting,Solver only,50,48,0.96
OR-R1-like Voting,Solver-Filter,50,48,0.96
OR-R1-like Voting,Structure + Consensus,50,50,1.0
OR-R1-like Voting,Structure only,50,48,0.96
OR-R1-like Voting,Structure-Grounded Consistency,50,50,1.0
OR-R1-like Voting,Structure-Only,50,48,0.96
OptArgus-like Audit,OptiRepair-like Repair-Prompt,50,50,1.0
OptArgus-like Audit,ReplenishVerifier-Full,50,50,1.0
OptArgus-like Audit,ReplenishVerifier-Repair,50,50,1.0
OptArgus-like Audit,SIRL-like LP-Stats,50,49,0.98
OptArgus-like Audit,Solver + Consensus,50,48,0.96
OptArgus-like Audit,Solver + Structure,50,50,1.0
OptArgus-like Audit,Solver + Structure + Consensus,50,48,0.96
OptArgus-like Audit,Solver only,50,50,1.0
OptArgus-like Audit,Solver-Filter,50,50,1.0
OptArgus-like Audit,Structure + Consensus,50,48,0.96
OptArgus-like Audit,Structure only,50,50,1.0
OptArgus-like Audit,Structure-Grounded Consistency,50,48,0.96
OptArgus-like Audit,Structure-Only,50,50,1.0
OptiRepair-like Repair-Prompt,ReplenishVerifier-Full,50,50,1.0
OptiRepair-like Repair-Prompt,ReplenishVerifier-Repair,50,50,1.0
OptiRepair-like Repair-Prompt,SIRL-like LP-Stats,50,49,0.98
OptiRepair-like Repair-Prompt,Solver + Consensus,50,48,0.96
OptiRepair-like Repair-Prompt,Solver + Structure,50,50,1.0
OptiRepair-like Repair-Prompt,Solver + Structure + Consensus,50,48,0.96
OptiRepair-like Repair-Prompt,Solver only,50,50,1.0
OptiRepair-like Repair-Prompt,Solver-Filter,50,50,1.0
OptiRepair-like Repair-Prompt,Structure + Consensus,50,48,0.96
OptiRepair-like Repair-Prompt,Structure only,50,50,1.0
OptiRepair-like Repair-Prompt,Structure-Grounded Consistency,50,48,0.96
OptiRepair-like Repair-Prompt,Structure-Only,50,50,1.0
ReplenishVerifier-Full,ReplenishVerifier-Repair,50,50,1.0
ReplenishVerifier-Full,SIRL-like LP-Stats,50,49,0.98
ReplenishVerifier-Full,Solver + Consensus,50,48,0.96
ReplenishVerifier-Full,Solver + Structure,50,50,1.0
ReplenishVerifier-Full,Solver + Structure + Consensus,50,48,0.96
ReplenishVerifier-Full,Solver only,50,50,1.0
ReplenishVerifier-Full,Solver-Filter,50,50,1.0
ReplenishVerifier-Full,Structure + Consensus,50,48,0.96
ReplenishVerifier-Full,Structure only,50,50,1.0
ReplenishVerifier-Full,Structure-Grounded Consistency,50,48,0.96
ReplenishVerifier-Full,Structure-Only,50,50,1.0
ReplenishVerifier-Repair,SIRL-like LP-Stats,50,49,0.98
