method,problem_id,candidate_id,problem_type,difficulty,selected,executable,status,objective,reference_objective,score,objective_correct,relative_error,structure_score,semantic_consistency_score,runtime_sec,repair_feedback_count,error,expected_inventory_balance,detected_inventory_balance,expected_order_variable,detected_order_variable,expected_inventory_variable,detected_inventory_variable,expected_shortage_variable,detected_shortage_variable,expected_capacity_constraint,detected_capacity_constraint,expected_binary_order_variable,detected_binary_order_variable,expected_big_m_constraint,detected_big_m_constraint,expected_lead_time,detected_lead_time,expected_holding_cost,detected_holding_cost,expected_shortage_cost,detected_shortage_cost,expected_fixed_order_cost,detected_fixed_order_cost
Solver-Filter,single_period_newsvendor_0000,cand_0_reference,single_period_newsvendor,easy,True,False,Error,,111.0,0.0,0.0,,0.0,0.0,0.03920480003580451,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\single_period_newsvendor_0000\\cand_0_reference\\runs\\exp_demo\\candidate_runs\\single_period_newsvendor_0000\\cand_0_reference\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
Solver-Filter,single_item_multi_period_0000,cand_0_reference,single_item_multi_period,medium,True,False,Error,,144.0,0.0,0.0,,0.0,0.0,0.03669179999269545,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_0000\\cand_0_reference\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_0000\\cand_0_reference\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
Solver-Filter,single_item_multi_period_shortage_0000,cand_0_reference,single_item_multi_period_shortage,medium,True,False,Error,,460.0,0.0,0.0,,0.0,0.0,0.03682989999651909,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_shortage_0000\\cand_0_reference\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_shortage_0000\\cand_0_reference\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
Solver-Filter,multi_item_capacity_0000,cand_0_reference,multi_item_capacity,hard,True,False,Error,,940.0,0.0,0.0,,0.0,0.0,0.03449069999624044,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\multi_item_capacity_0000\\cand_0_reference\\runs\\exp_demo\\candidate_runs\\multi_item_capacity_0000\\cand_0_reference\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
Solver-Filter,fixed_order_cost_big_m_0000,cand_0_reference,fixed_order_cost_big_m,hard,True,False,Error,,729.0,0.0,0.0,,0.0,0.0,0.03748419997282326,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\fixed_order_cost_big_m_0000\\cand_0_reference\\runs\\exp_demo\\candidate_runs\\fixed_order_cost_big_m_0000\\cand_0_reference\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,single_period_newsvendor_0000,cand_0_reference,single_period_newsvendor,easy,True,False,Error,,111.0,0.0,0.0,,0.0,0.0,0.03920480003580451,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\single_period_newsvendor_0000\\cand_0_reference\\runs\\exp_demo\\candidate_runs\\single_period_newsvendor_0000\\cand_0_reference\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,single_item_multi_period_0000,cand_0_reference,single_item_multi_period,medium,True,False,Error,,144.0,0.0,0.0,,0.0,0.0,0.03669179999269545,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_0000\\cand_0_reference\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_0000\\cand_0_reference\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,single_item_multi_period_shortage_0000,cand_0_reference,single_item_multi_period_shortage,medium,True,False,Error,,460.0,0.0,0.0,,0.0,0.0,0.03682989999651909,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_shortage_0000\\cand_0_reference\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_shortage_0000\\cand_0_reference\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,multi_item_capacity_0000,cand_0_reference,multi_item_capacity,hard,True,False,Error,,940.0,0.0,0.0,,0.0,0.0,0.03449069999624044,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\multi_item_capacity_0000\\cand_0_reference\\runs\\exp_demo\\candidate_runs\\multi_item_capacity_0000\\cand_0_reference\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,fixed_order_cost_big_m_0000,cand_0_reference,fixed_order_cost_big_m,hard,True,False,Error,,729.0,0.0,0.0,,0.0,0.0,0.03748419997282326,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\fixed_order_cost_big_m_0000\\cand_0_reference\\runs\\exp_demo\\candidate_runs\\fixed_order_cost_big_m_0000\\cand_0_reference\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
ReplenishVerifier-Full,single_period_newsvendor_0000,cand_0_reference,single_period_newsvendor,easy,True,False,Error,,111.0,0.0,0.0,,0.0,0.0,0.03920480003580451,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\single_period_newsvendor_0000\\cand_0_reference\\runs\\exp_demo\\candidate_runs\\single_period_newsvendor_0000\\cand_0_reference\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
ReplenishVerifier-Full,single_item_multi_period_0000,cand_0_reference,single_item_multi_period,medium,True,False,Error,,144.0,0.0,0.0,,0.0,0.0,0.03669179999269545,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_0000\\cand_0_reference\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_0000\\cand_0_reference\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
ReplenishVerifier-Full,single_item_multi_period_shortage_0000,cand_0_reference,single_item_multi_period_shortage,medium,True,False,Error,,460.0,0.0,0.0,,0.0,0.0,0.03682989999651909,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_shortage_0000\\cand_0_reference\\runs\\exp_demo\\candidate_runs\\single_item_multi_period_shortage_0000\\cand_0_reference\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
ReplenishVerifier-Full,multi_item_capacity_0000,cand_0_reference,multi_item_capacity,hard,True,False,Error,,940.0,0.0,0.0,,0.0,0.0,0.03449069999624044,0,"C:\Python314\python.exe: can't open file '\\\\wsl.localhost\\Ubuntu\\home\\dongaorui\\projects\\lunwen\\runs\\exp_demo\\candidate_runs\\multi_item_capacity_0000\\cand_0_reference\\runs\\exp_demo\\candidate_runs\\multi_item_capacity_0000\\cand_0_reference\\_runner.py': [Errno 2] No such file or directory
",,,,,,,,,,,,,,,,,,,,,,
