method,problem_id,candidate_id,problem_type,difficulty,selected,executable,status,objective,reference_objective,score,objective_correct,relative_error,structure_score,semantic_consistency_score,sirl_like_lp_stats_score,optargus_like_audit_score,optirepair_like_repair_score,or_r1_like_voting_score,objective_consensus_score,selection_policy,uses_reference_objective_for_selection,runtime_sec,repair_feedback_count,error,expected_inventory_balance,detected_inventory_balance,expected_order_variable,detected_order_variable,expected_inventory_variable,detected_inventory_variable,expected_shortage_variable,detected_shortage_variable,expected_capacity_constraint,detected_capacity_constraint,expected_binary_order_variable,detected_binary_order_variable,expected_big_m_constraint,detected_big_m_constraint,expected_lead_time,detected_lead_time,expected_holding_cost,detected_holding_cost,expected_shortage_cost,detected_shortage_cost,expected_fixed_order_cost,detected_fixed_order_cost
Solver-Filter,single_period_newsvendor_0000,cand_1_remove_inventory_balance,single_period_newsvendor,easy,True,True,Optimal,0.0,111.0,1.0,0.0,1.0,0.6,0.6,0.8280000000000001,0.8599999999999999,0.919,0.9624999999999999,0.75,executable > optimal > has_objective; no reference objective,False,0.4237960000173189,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
Solver-Filter,single_period_newsvendor_0001,cand_1_remove_inventory_balance,single_period_newsvendor,easy,True,True,Optimal,0.0,122.0,1.0,0.0,1.0,0.6,0.6,0.8280000000000001,0.8599999999999999,0.919,0.9624999999999999,0.75,executable > optimal > has_objective; no reference objective,False,0.44013730000006035,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
Solver-Filter,single_period_newsvendor_0002,cand_1_remove_inventory_balance,single_period_newsvendor,easy,True,True,Optimal,0.0,580.0,1.0,0.0,1.0,0.6,0.6,0.8280000000000001,0.8599999999999999,0.919,0.9624999999999999,0.75,executable > optimal > has_objective; no reference objective,False,0.46806260000448674,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
Solver-Filter,single_item_multi_period_0000,cand_1_remove_inventory_balance,single_item_multi_period,medium,True,True,Optimal,0.0,192.0,1.0,0.0,1.0,1.0,1.0,0.8280000000000001,0.8599999999999999,0.919,0.9624999999999999,0.75,executable > optimal > has_objective; no reference objective,False,0.4452735999948345,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
Solver-Filter,single_item_multi_period_0001,cand_1_remove_inventory_balance,single_item_multi_period,medium,True,True,Optimal,0.0,876.0,1.0,0.0,1.0,1.0,1.0,0.8280000000000001,0.8599999999999999,0.919,0.9624999999999999,0.75,executable > optimal > has_objective; no reference objective,False,0.4503552000387572,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
Solver-Filter,single_item_multi_period_0002,cand_1_remove_inventory_balance,single_item_multi_period,medium,True,True,Optimal,0.0,140.0,1.0,0.0,1.0,1.0,1.0,0.8280000000000001,0.8599999999999999,0.919,0.9624999999999999,0.75,executable > optimal > has_objective; no reference objective,False,0.4452777999686077,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
Solver-Filter,single_item_multi_period_shortage_0000,cand_1_remove_inventory_balance,single_item_multi_period_shortage,medium,True,True,Optimal,0.0,208.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.8280000000000001,0.8599999999999999,0.919,0.9624999999999999,0.75,executable > optimal > has_objective; no reference objective,False,0.46382800000719726,2,,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
Solver-Filter,single_item_multi_period_shortage_0001,cand_1_remove_inventory_balance,single_item_multi_period_shortage,medium,True,True,Optimal,0.0,235.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.8280000000000001,0.8599999999999999,0.919,0.9624999999999999,0.75,executable > optimal > has_objective; no reference objective,False,0.44857710000360385,2,,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
Solver-Filter,single_item_multi_period_shortage_0002,cand_1_remove_inventory_balance,single_item_multi_period_shortage,medium,True,True,Optimal,0.0,360.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.8280000000000001,0.8599999999999999,0.919,0.9624999999999999,0.75,executable > optimal > has_objective; no reference objective,False,0.4464000000152737,2,,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
Solver-Filter,multi_item_capacity_0000,cand_1_remove_inventory_balance,multi_item_capacity,hard,True,True,Optimal,0.0,745.0,1.0,0.0,1.0,0.8,0.8,0.8280000000000001,0.8599999999999999,0.919,0.9249999999999999,0.5,executable > optimal > has_objective; no reference objective,False,0.43508189998101443,1,,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False
